id;nome;documento;email;status;criado_em;atualizado_em
09b6061b-fd99-45cc-bb38-74155ab422fb;Up-sized Advanced Tocantins;11;Sophia_Barros@hotmail.com;true;2022-10-13T01:17:59;2022-10-13T00:51:33
625bc5cb-f4c3-4e42-833b-02ba9aa9d316;fúchsia Central indexing;11;Gbio90@live.com;false;2022-10-12T21:06:20;2022-10-13T17:51:42
328e041f-1af7-4a34-8be3-b9896592486d;Queijo withdrawal auxiliary;11;JlioCsar65@live.com;false;2022-10-13T01:08:06;2022-10-13T04:12:41
bc820e99-b06a-4256-ae55-3f9742a7f9d2;synergy Jóias Avenida;11;Mrcia45@hotmail.com;true;2022-10-13T15:33:35;2022-10-12T21:48:00
c9e9cf4b-f1e0-472a-9af7-350a61603ed1;Ferramentas Travessa;11;Yasmin_Batista@hotmail.com;false;2022-10-13T02:10:11;2022-10-13T07:23:25
296cdbbb-4fac-45a6-b7fe-2cbf7fe9ac1e;Forward PCI;11;Meire.Melo@yahoo.com;false;2022-10-13T18:36:10;2022-10-13T03:20:45
5d43bd61-f9f5-4ed9-8ebb-7b42752e28f4;deposit Investment Avon;11;Enzo74@bol.com.br;false;2022-10-12T20:53:42;2022-10-13T07:45:12
c6078507-ad40-41fa-a1a7-fa2f4026640d;Tunisian;11;Gustavo_Costa@hotmail.com;true;2022-10-13T18:44:32;2022-10-12T20:11:41
a60321b4-148d-4354-8d9b-5d0ef240dabc;Mesa;11;MariaAlice_Franco62@hotmail.com;true;2022-10-13T11:12:11;2022-10-13T04:08:59
ce002f74-a4a2-494b-aa12-db872b5787dc;HTTP Account;11;Melissa.Saraiva47@bol.com.br;false;2022-10-13T04:20:36;2022-10-13T15:02:31
